2026-05-24 20:41:24 [INFO    ] cardatareader: === sessão iniciada — log de erros: logs\errors_2026-05-24_20-41-22.txt ===
2026-05-24 20:41:24 [INFO    ] cardatareader: Gravando dados em: logs\session_2026-05-24_20-41-24.csv
2026-05-24 20:41:24 [WARNING ] cardatareader: [ESP32] no port found — retrying in 3 s
2026-05-24 20:41:27 [WARNING ] cardatareader: [ESP32] no port found — retrying in 3 s
2026-05-24 20:41:30 [WARNING ] cardatareader: [ESP32] no port found — retrying in 3 s
2026-05-24 20:41:33 [WARNING ] cardatareader: [ESP32] no port found — retrying in 3 s
2026-05-24 20:41:36 [WARNING ] cardatareader: [ESP32] no port found — retrying in 3 s
2026-05-24 20:41:39 [WARNING ] cardatareader: [ESP32] no port found — retrying in 3 s
2026-05-24 20:41:42 [WARNING ] cardatareader: [ESP32] no port found — retrying in 3 s
2026-05-24 20:41:45 [WARNING ] cardatareader: [ESP32] no port found — retrying in 3 s
2026-05-24 20:41:48 [WARNING ] cardatareader: [ESP32] no port found — retrying in 3 s
2026-05-24 20:41:51 [WARNING ] cardatareader: [ESP32] no port found — retrying in 3 s
2026-05-24 20:41:54 [WARNING ] cardatareader: [ESP32] no port found — retrying in 3 s
2026-05-24 20:41:57 [WARNING ] cardatareader: [ESP32] no port found — retrying in 3 s
2026-05-24 20:42:00 [WARNING ] cardatareader: [ESP32] no port found — retrying in 3 s
2026-05-24 20:42:03 [WARNING ] cardatareader: [ESP32] no port found — retrying in 3 s
2026-05-24 20:42:06 [WARNING ] cardatareader: [ESP32] no port found — retrying in 3 s
2026-05-24 20:42:09 [WARNING ] cardatareader: [ESP32] no port found — retrying in 3 s
2026-05-24 20:42:12 [WARNING ] cardatareader: [ESP32] no port found — retrying in 3 s
2026-05-24 20:42:15 [WARNING ] cardatareader: [ESP32] no port found — retrying in 3 s
2026-05-24 20:42:18 [WARNING ] cardatareader: [ESP32] no port found — retrying in 3 s
2026-05-24 20:42:21 [WARNING ] cardatareader: [ESP32] no port found — retrying in 3 s
2026-05-24 20:42:24 [WARNING ] cardatareader: [ESP32] no port found — retrying in 3 s
2026-05-24 20:42:27 [WARNING ] cardatareader: [ESP32] no port found — retrying in 3 s
2026-05-24 20:42:30 [WARNING ] cardatareader: [ESP32] no port found — retrying in 3 s
2026-05-24 20:42:33 [WARNING ] cardatareader: [ESP32] no port found — retrying in 3 s
2026-05-24 20:42:36 [WARNING ] cardatareader: [ESP32] no port found — retrying in 3 s
2026-05-24 20:42:39 [WARNING ] cardatareader: [ESP32] no port found — retrying in 3 s
2026-05-24 20:42:42 [WARNING ] cardatareader: [ESP32] no port found — retrying in 3 s
2026-05-24 20:42:45 [WARNING ] cardatareader: [ESP32] no port found — retrying in 3 s
2026-05-24 20:42:48 [WARNING ] cardatareader: [ESP32] no port found — retrying in 3 s
2026-05-24 20:42:51 [WARNING ] cardatareader: [ESP32] no port found — retrying in 3 s
2026-05-24 20:42:54 [WARNING ] cardatareader: [ESP32] no port found — retrying in 3 s
2026-05-24 20:42:57 [WARNING ] cardatareader: [ESP32] no port found — retrying in 3 s
2026-05-24 20:43:00 [WARNING ] cardatareader: [ESP32] no port found — retrying in 3 s
2026-05-24 20:43:03 [WARNING ] cardatareader: [ESP32] no port found — retrying in 3 s
2026-05-24 20:43:06 [WARNING ] cardatareader: [ESP32] no port found — retrying in 3 s
2026-05-24 20:43:09 [WARNING ] cardatareader: [ESP32] no port found — retrying in 3 s
2026-05-24 20:43:12 [WARNING ] cardatareader: [ESP32] no port found — retrying in 3 s
2026-05-24 20:43:15 [WARNING ] cardatareader: [ESP32] no port found — retrying in 3 s
2026-05-24 20:43:18 [WARNING ] cardatareader: [ESP32] no port found — retrying in 3 s
2026-05-24 20:43:21 [WARNING ] cardatareader: [ESP32] no port found — retrying in 3 s
2026-05-24 20:43:24 [WARNING ] cardatareader: [ESP32] no port found — retrying in 3 s
2026-05-24 20:43:27 [WARNING ] cardatareader: [ESP32] no port found — retrying in 3 s
2026-05-24 20:43:30 [WARNING ] cardatareader: [ESP32] no port found — retrying in 3 s
2026-05-24 20:43:33 [WARNING ] cardatareader: [ESP32] no port found — retrying in 3 s
2026-05-24 20:43:36 [WARNING ] cardatareader: [ESP32] no port found — retrying in 3 s
2026-05-24 20:43:39 [WARNING ] cardatareader: [ESP32] no port found — retrying in 3 s
2026-05-24 20:43:42 [WARNING ] cardatareader: [ESP32] no port found — retrying in 3 s
2026-05-24 20:43:45 [WARNING ] cardatareader: [ESP32] no port found — retrying in 3 s
2026-05-24 20:43:48 [WARNING ] cardatareader: [ESP32] no port found — retrying in 3 s
2026-05-24 20:43:51 [WARNING ] cardatareader: [ESP32] no port found — retrying in 3 s
2026-05-24 20:43:54 [WARNING ] cardatareader: [ESP32] no port found — retrying in 3 s
2026-05-24 20:43:57 [WARNING ] cardatareader: [ESP32] no port found — retrying in 3 s
2026-05-24 20:44:00 [WARNING ] cardatareader: [ESP32] no port found — retrying in 3 s
2026-05-24 20:44:03 [WARNING ] cardatareader: [ESP32] no port found — retrying in 3 s
2026-05-24 20:44:06 [WARNING ] cardatareader: [ESP32] no port found — retrying in 3 s
2026-05-24 20:44:09 [WARNING ] cardatareader: [ESP32] no port found — retrying in 3 s
2026-05-24 20:44:12 [WARNING ] cardatareader: [ESP32] no port found — retrying in 3 s
2026-05-24 20:44:15 [WARNING ] cardatareader: [ESP32] no port found — retrying in 3 s
2026-05-24 20:44:18 [WARNING ] cardatareader: [ESP32] no port found — retrying in 3 s
2026-05-24 20:44:21 [WARNING ] cardatareader: [ESP32] no port found — retrying in 3 s
2026-05-24 20:44:24 [WARNING ] cardatareader: [ESP32] no port found — retrying in 3 s
2026-05-24 20:44:27 [WARNING ] cardatareader: [ESP32] no port found — retrying in 3 s
2026-05-24 20:44:30 [WARNING ] cardatareader: [ESP32] no port found — retrying in 3 s
2026-05-24 20:44:33 [WARNING ] cardatareader: [ESP32] no port found — retrying in 3 s
2026-05-24 20:44:36 [WARNING ] cardatareader: [ESP32] no port found — retrying in 3 s
2026-05-24 20:44:39 [WARNING ] cardatareader: [ESP32] no port found — retrying in 3 s
2026-05-24 20:44:42 [WARNING ] cardatareader: [ESP32] no port found — retrying in 3 s
2026-05-24 20:44:45 [WARNING ] cardatareader: [ESP32] no port found — retrying in 3 s
2026-05-24 20:44:48 [WARNING ] cardatareader: [ESP32] no port found — retrying in 3 s
2026-05-24 20:44:51 [WARNING ] cardatareader: [ESP32] no port found — retrying in 3 s
2026-05-24 20:44:54 [WARNING ] cardatareader: [ESP32] no port found — retrying in 3 s
2026-05-24 20:44:57 [WARNING ] cardatareader: [ESP32] no port found — retrying in 3 s
2026-05-24 20:45:00 [WARNING ] cardatareader: [ESP32] no port found — retrying in 3 s
2026-05-24 20:45:03 [WARNING ] cardatareader: [ESP32] no port found — retrying in 3 s
2026-05-24 20:45:06 [WARNING ] cardatareader: [ESP32] no port found — retrying in 3 s
2026-05-24 20:45:09 [WARNING ] cardatareader: [ESP32] no port found — retrying in 3 s
2026-05-24 20:45:12 [WARNING ] cardatareader: [ESP32] no port found — retrying in 3 s
2026-05-24 20:45:15 [WARNING ] cardatareader: [ESP32] no port found — retrying in 3 s
2026-05-24 20:45:18 [WARNING ] cardatareader: [ESP32] no port found — retrying in 3 s
2026-05-24 20:45:21 [WARNING ] cardatareader: [ESP32] no port found — retrying in 3 s
2026-05-24 20:45:24 [WARNING ] cardatareader: [ESP32] no port found — retrying in 3 s
2026-05-24 20:45:27 [WARNING ] cardatareader: [ESP32] no port found — retrying in 3 s
2026-05-24 20:45:30 [WARNING ] cardatareader: [ESP32] no port found — retrying in 3 s
2026-05-24 20:45:33 [WARNING ] cardatareader: [ESP32] no port found — retrying in 3 s
2026-05-24 20:45:36 [WARNING ] cardatareader: [ESP32] no port found — retrying in 3 s
2026-05-24 20:45:39 [WARNING ] cardatareader: [ESP32] no port found — retrying in 3 s
2026-05-24 20:45:42 [WARNING ] cardatareader: [ESP32] no port found — retrying in 3 s
2026-05-24 20:45:45 [WARNING ] cardatareader: [ESP32] no port found — retrying in 3 s
2026-05-24 20:45:48 [WARNING ] cardatareader: [ESP32] no port found — retrying in 3 s
2026-05-24 20:45:51 [WARNING ] cardatareader: [ESP32] no port found — retrying in 3 s
2026-05-24 20:45:54 [WARNING ] cardatareader: [ESP32] no port found — retrying in 3 s
2026-05-24 20:45:57 [WARNING ] cardatareader: [ESP32] no port found — retrying in 3 s
2026-05-24 20:46:00 [WARNING ] cardatareader: [ESP32] no port found — retrying in 3 s
2026-05-24 20:46:03 [WARNING ] cardatareader: [ESP32] no port found — retrying in 3 s
2026-05-24 20:46:06 [WARNING ] cardatareader: [ESP32] no port found — retrying in 3 s
2026-05-24 20:46:09 [WARNING ] cardatareader: [ESP32] no port found — retrying in 3 s
2026-05-24 20:46:12 [WARNING ] cardatareader: [ESP32] no port found — retrying in 3 s
2026-05-24 20:46:15 [WARNING ] cardatareader: [ESP32] no port found — retrying in 3 s
2026-05-24 20:46:18 [WARNING ] cardatareader: [ESP32] no port found — retrying in 3 s
2026-05-24 20:46:21 [WARNING ] cardatareader: [ESP32] no port found — retrying in 3 s
2026-05-24 20:46:24 [WARNING ] cardatareader: [ESP32] no port found — retrying in 3 s
2026-05-24 20:46:27 [WARNING ] cardatareader: [ESP32] no port found — retrying in 3 s
2026-05-24 20:46:30 [WARNING ] cardatareader: [ESP32] no port found — retrying in 3 s
2026-05-24 20:46:33 [WARNING ] cardatareader: [ESP32] no port found — retrying in 3 s
2026-05-24 20:46:36 [WARNING ] cardatareader: [ESP32] no port found — retrying in 3 s
2026-05-24 20:46:39 [WARNING ] cardatareader: [ESP32] no port found — retrying in 3 s
2026-05-24 20:46:42 [WARNING ] cardatareader: [ESP32] no port found — retrying in 3 s
2026-05-24 20:46:45 [WARNING ] cardatareader: [ESP32] no port found — retrying in 3 s
2026-05-24 20:46:48 [WARNING ] cardatareader: [ESP32] no port found — retrying in 3 s
2026-05-24 20:46:51 [WARNING ] cardatareader: [ESP32] no port found — retrying in 3 s
2026-05-24 20:46:54 [WARNING ] cardatareader: [ESP32] no port found — retrying in 3 s
2026-05-24 20:46:57 [WARNING ] cardatareader: [ESP32] no port found — retrying in 3 s
2026-05-24 20:47:00 [WARNING ] cardatareader: [ESP32] no port found — retrying in 3 s
2026-05-24 20:47:03 [WARNING ] cardatareader: [ESP32] no port found — retrying in 3 s
2026-05-24 20:47:06 [WARNING ] cardatareader: [ESP32] no port found — retrying in 3 s
2026-05-24 20:47:09 [WARNING ] cardatareader: [ESP32] no port found — retrying in 3 s
2026-05-24 20:47:12 [WARNING ] cardatareader: [ESP32] no port found — retrying in 3 s
2026-05-24 20:47:15 [WARNING ] cardatareader: [ESP32] no port found — retrying in 3 s
2026-05-24 20:47:18 [WARNING ] cardatareader: [ESP32] no port found — retrying in 3 s
2026-05-24 20:47:21 [WARNING ] cardatareader: [ESP32] no port found — retrying in 3 s
2026-05-24 20:47:24 [WARNING ] cardatareader: [ESP32] no port found — retrying in 3 s
2026-05-24 20:47:27 [WARNING ] cardatareader: [ESP32] no port found — retrying in 3 s
2026-05-24 20:47:30 [WARNING ] cardatareader: [ESP32] no port found — retrying in 3 s
2026-05-24 20:47:33 [WARNING ] cardatareader: [ESP32] no port found — retrying in 3 s
2026-05-24 20:47:36 [WARNING ] cardatareader: [ESP32] no port found — retrying in 3 s
2026-05-24 20:47:39 [WARNING ] cardatareader: [ESP32] no port found — retrying in 3 s
2026-05-24 20:47:42 [WARNING ] cardatareader: [ESP32] no port found — retrying in 3 s
2026-05-24 20:47:45 [WARNING ] cardatareader: [ESP32] no port found — retrying in 3 s
2026-05-24 20:47:48 [WARNING ] cardatareader: [ESP32] no port found — retrying in 3 s
2026-05-24 20:47:51 [WARNING ] cardatareader: [ESP32] no port found — retrying in 3 s
2026-05-24 20:47:54 [WARNING ] cardatareader: [ESP32] no port found — retrying in 3 s
2026-05-24 20:47:57 [WARNING ] cardatareader: [ESP32] no port found — retrying in 3 s
2026-05-24 20:48:00 [WARNING ] cardatareader: [ESP32] no port found — retrying in 3 s
2026-05-24 20:48:03 [WARNING ] cardatareader: [ESP32] no port found — retrying in 3 s
2026-05-24 20:48:06 [WARNING ] cardatareader: [ESP32] no port found — retrying in 3 s
2026-05-24 20:48:09 [WARNING ] cardatareader: [ESP32] no port found — retrying in 3 s
2026-05-24 20:48:12 [WARNING ] cardatareader: [ESP32] no port found — retrying in 3 s
2026-05-24 20:48:15 [WARNING ] cardatareader: [ESP32] no port found — retrying in 3 s
2026-05-24 20:48:18 [WARNING ] cardatareader: [ESP32] no port found — retrying in 3 s
2026-05-24 20:48:21 [WARNING ] cardatareader: [ESP32] no port found — retrying in 3 s
2026-05-24 20:48:24 [WARNING ] cardatareader: [ESP32] no port found — retrying in 3 s
2026-05-24 20:48:28 [WARNING ] cardatareader: [ESP32] no port found — retrying in 3 s
2026-05-24 20:48:31 [WARNING ] cardatareader: [ESP32] no port found — retrying in 3 s
2026-05-24 20:48:34 [WARNING ] cardatareader: [ESP32] no port found — retrying in 3 s
2026-05-24 20:48:37 [WARNING ] cardatareader: [ESP32] no port found — retrying in 3 s
2026-05-24 20:48:40 [WARNING ] cardatareader: [ESP32] no port found — retrying in 3 s
2026-05-24 20:48:43 [WARNING ] cardatareader: [ESP32] no port found — retrying in 3 s
2026-05-24 20:48:46 [WARNING ] cardatareader: [ESP32] no port found — retrying in 3 s
2026-05-24 20:48:49 [WARNING ] cardatareader: [ESP32] no port found — retrying in 3 s
2026-05-24 20:48:52 [WARNING ] cardatareader: [ESP32] no port found — retrying in 3 s
2026-05-24 20:48:55 [WARNING ] cardatareader: [ESP32] no port found — retrying in 3 s
2026-05-24 20:48:58 [WARNING ] cardatareader: [ESP32] no port found — retrying in 3 s
2026-05-24 20:49:01 [WARNING ] cardatareader: [ESP32] no port found — retrying in 3 s
2026-05-24 20:49:04 [WARNING ] cardatareader: [ESP32] no port found — retrying in 3 s
2026-05-24 20:49:07 [WARNING ] cardatareader: [ESP32] no port found — retrying in 3 s
2026-05-24 20:49:10 [WARNING ] cardatareader: [ESP32] no port found — retrying in 3 s
2026-05-24 20:49:13 [WARNING ] cardatareader: [ESP32] no port found — retrying in 3 s
2026-05-24 20:49:16 [WARNING ] cardatareader: [ESP32] no port found — retrying in 3 s
2026-05-24 20:49:19 [WARNING ] cardatareader: [ESP32] no port found — retrying in 3 s
2026-05-24 20:49:22 [WARNING ] cardatareader: [ESP32] no port found — retrying in 3 s
2026-05-24 20:49:25 [WARNING ] cardatareader: [ESP32] no port found — retrying in 3 s
2026-05-24 20:49:28 [WARNING ] cardatareader: [ESP32] no port found — retrying in 3 s
2026-05-24 20:49:31 [WARNING ] cardatareader: [ESP32] no port found — retrying in 3 s
2026-05-24 20:49:34 [WARNING ] cardatareader: [ESP32] no port found — retrying in 3 s
2026-05-24 20:49:37 [WARNING ] cardatareader: [ESP32] no port found — retrying in 3 s
2026-05-24 20:49:40 [WARNING ] cardatareader: [ESP32] no port found — retrying in 3 s
2026-05-24 20:49:43 [WARNING ] cardatareader: [ESP32] no port found — retrying in 3 s
2026-05-24 20:49:46 [WARNING ] cardatareader: [ESP32] no port found — retrying in 3 s
2026-05-24 20:49:49 [WARNING ] cardatareader: [ESP32] no port found — retrying in 3 s
2026-05-24 20:49:52 [WARNING ] cardatareader: [ESP32] no port found — retrying in 3 s
2026-05-24 20:49:55 [WARNING ] cardatareader: [ESP32] no port found — retrying in 3 s
2026-05-24 20:49:58 [WARNING ] cardatareader: [ESP32] no port found — retrying in 3 s
2026-05-24 20:50:01 [WARNING ] cardatareader: [ESP32] no port found — retrying in 3 s
2026-05-24 20:50:04 [WARNING ] cardatareader: [ESP32] no port found — retrying in 3 s
2026-05-24 20:50:07 [WARNING ] cardatareader: [ESP32] no port found — retrying in 3 s
2026-05-24 20:50:10 [WARNING ] cardatareader: [ESP32] no port found — retrying in 3 s
2026-05-24 20:50:13 [WARNING ] cardatareader: [ESP32] no port found — retrying in 3 s
2026-05-24 20:50:16 [WARNING ] cardatareader: [ESP32] no port found — retrying in 3 s
2026-05-24 20:50:19 [WARNING ] cardatareader: [ESP32] no port found — retrying in 3 s
2026-05-24 20:50:22 [WARNING ] cardatareader: [ESP32] no port found — retrying in 3 s
2026-05-24 20:50:25 [WARNING ] cardatareader: [ESP32] no port found — retrying in 3 s
2026-05-24 20:50:28 [WARNING ] cardatareader: [ESP32] no port found — retrying in 3 s
2026-05-24 20:50:31 [WARNING ] cardatareader: [ESP32] no port found — retrying in 3 s
2026-05-24 20:50:34 [WARNING ] cardatareader: [ESP32] no port found — retrying in 3 s
2026-05-24 20:50:37 [WARNING ] cardatareader: [ESP32] no port found — retrying in 3 s
2026-05-24 20:50:40 [WARNING ] cardatareader: [ESP32] no port found — retrying in 3 s
2026-05-24 20:50:40 [INFO    ] cardatareader: === sessão encerrada ===
